m49,country,vulnerability_index,concentration_index,emissions_exposure_index,trade_weighted_emissions_intensity,high_emissions_import_share,emissions_data_coverage,overlap_index,overlap_tier,priority_action
776,Tonga,0.78,0.19,0.6183333531347646,3.2456704570566357,0.09574784065392247,0.23666670626952915,0.7153333412539058,Critical overlap,Prioritize low-emissions substitution and strategic food buffers
882,Samoa,0.73,0.18,0.3621811055167077,1.9313442073632097,0.055523128031072774,0.22669001448429427,0.5828724422066831,Critical overlap,Prioritize low-emissions substitution and strategic food buffers
634,Qatar,0.78,0.01,0.2578858195621227,1.5643695147241579,0.040387688074208866,0.11173993608805645,0.5711543278248491,Critical overlap,Prioritize low-emissions substitution and strategic food buffers
462,Maldives,0.8,0.08,0.09944878879321423,0.6661498059068,0.013607156541987207,0.06761871076134053,0.5197795155172856,Critical overlap,Prioritize low-emissions substitution and strategic food buffers
414,Kuwait,0.72,0.02,0.20643294789271305,1.2550256304869083,0.03408981017358498,0.0937367883369143,0.5145731791570852,Critical overlap,Prioritize low-emissions substitution and strategic food buffers
690,Seychelles,0.78,0.04,0.11266106577715769,0.7495573358492869,0.016533823740897464,0.055576134466965035,0.513064426310863,Critical overlap,Prioritize low-emissions substitution and strategic food buffers
044,Bahamas,0.79,0.81,0.05843984356373481,0.3711993086955356,0.008727034707080816,0.08829909389855953,0.4973759374254939,Critical overlap,Diversify suppliers and launch low-emissions procurement standards immediately
096,Brunei Darussalam,0.79,0.25,0.05277207050062232,0.3254293008003097,0.010893679074460585,0.011793854617330367,0.49510882820024893,Critical overlap,Prioritize low-emissions substitution and strategic food buffers
028,Antigua and Barbuda,0.78,0.29,0.03986893190431139,0.2544265205698587,0.0058191428935746,0.09079369863331285,0.4839475727617245,Critical overlap,Prioritize low-emissions substitution and strategic food buffers
308,Grenada,0.79,0.23,0.023828415261176003,0.15673379129671114,0.002962124989766528,0.1062569308514993,0.4835313661044704,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring"
